Rate,Code_nRMSE,Code_Gap
0.0,78.46,-36.41
0.1,79.59,-34.61
0.2,80.19,-30.54
0.3,79.72,-23.89
0.4,73.37,-16.08
0.5,68.04,-10.28
0.6,59.40,-4.90
0.7,64.13,-1.76
0.8,43.43,3.57
0.9,41.06,5.85
1.0,36.65,7.69
1.1,36.77,9.35
1.2,36.96,10.92
1.3,37.48,12.69
1.4,37.40,14.05
1.5,36.98,15.31
