zone,block,train_start,train_end,test_start,test_end,min_margin,worst_hour
z02,3,2012-06-01,2012-08-29,2012-08-30,2012-09-28,-1.1102230246251565e-16,10
z03,3,2012-06-01,2012-08-29,2012-08-30,2012-09-28,-1.1102230246251565e-16,10
z03,15,2013-05-27,2013-08-24,2013-08-25,2013-09-23,-1.1102230246251565e-16,11
z02,14,2013-04-27,2013-07-25,2013-07-26,2013-08-24,-1.1102230246251565e-16,10
z02,15,2013-05-27,2013-08-24,2013-08-25,2013-09-23,-1.1102230246251565e-16,11
z01,15,2013-05-27,2013-08-24,2013-08-25,2013-09-23,-1.1102230246251565e-16,11
z01,14,2013-04-27,2013-07-25,2013-07-26,2013-08-24,-1.1102230246251565e-16,10
z01,3,2012-06-01,2012-08-29,2012-08-30,2012-09-28,-1.1102230246251565e-16,10
z03,14,2013-04-27,2013-07-25,2013-07-26,2013-08-24,-1.1102230246251565e-16,10
z02,1,2012-04-02,2012-06-30,2012-07-01,2012-07-30,-2.220446049250313e-16,10
