Rate,Code_nRMSE,Code_Gap
0.0,47.79,-24.41
0.1,49.71,-21.49
0.2,37.69,-11.60
0.3,42.95,-11.88
0.4,40.18,-7.66
0.5,32.35,-2.34
0.6,29.17,0.79
0.7,27.25,3.17
0.8,25.99,5.05
0.9,24.93,6.55
1.0,24.21,7.71
1.1,23.86,8.62
1.2,27.52,10.20
1.3,23.28,10.09
1.4,23.18,10.70
1.5,23.08,11.26
