config,w1,w2,penalty_rate,nrmse,gap
AR,,,0.5,36.11893394807445,-0.7349264099028222
1/20,1.0,20.0,0.5,36.290251015441406,-1.0937843194008772
1/10,1.0,10.0,0.5,35.75978447477513,-0.6526896529705359
1/5,1.0,5.0,0.5,36.230960655771256,-0.8056985200622968
1/2,1.0,2.0,0.5,37.08269798343723,-1.2607593599181355
1/1,1.0,1.0,0.5,68.03821554955432,-10.275402685572256
2/1,2.0,1.0,0.5,116.6110211091107,-28.996257536511568
5/1,5.0,1.0,0.5,116.45444614521986,-30.4313985929678
10/1,10.0,1.0,0.5,116.45444614533827,-30.431398592988405
20/1,20.0,1.0,0.5,116.45444614546837,-30.431398593016617
1/0,1.0,0.0,0.5,116.4544461454683,-30.43139859301659
