Rate,AR_nRMSE,AR_Gap,Proposed_nRMSE,Proposed_Gap
0.0,36.1127,13.4711,95.5594,14.183
0.1,36.1127,11.8353,65.4302,12.7071
0.2,36.1127,11.3718,62.0166,10.695
0.3,36.1127,11.8998,63.7292,11.3213
0.4,36.1127,13.2725,62.7383,11.8147
0.5,36.1127,14.9421,59.1279,10.8356
0.6,36.1127,16.6444,52.7893,11.1756
0.7,36.1127,18.348,61.0212,11.8717
0.8,36.1127,20.0516,62.2941,11.6429
0.9,36.1127,21.7552,64.9884,11.8769
1.0,36.1127,23.4588,67.5903,12.1487
