Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
AR,36.1127,14.9421,34.76,15.04
1/20,37.849,14.3877,34.89,13.91
1/10,39.0602,12.603,35.14,13.42
1/5,43.7223,11.5937,36.28,12.71
1/2,53.2194,11.2687,41.09,11.88
1/1,59.1279,10.8356,44.95,11.44
2/1,65.9917,10.7561,46.11,11.38
5/1,67.026,10.6867,48.27,11.38
10/1,67.9473,10.6704,49.21,11.36
20/1,67.8225,10.6909,49.61,11.36
1/0,67.8375,10.6919,50.07,11.36
