Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
AR,36.1127,25.4142,34.76,15.04
1/20,42.286,23.5064,34.89,13.91
1/10,75.9666,13.114,35.14,13.42
1/5,116.4544,3.439,36.28,12.71
1/2,116.4544,3.439,41.09,11.88
1/1,116.4544,3.439,44.95,11.44
2/1,116.4544,3.439,46.11,11.38
5/1,116.4544,3.439,48.27,11.38
10/1,116.4544,3.439,49.21,11.36
20/1,116.4544,3.439,49.61,11.36
1/0,116.4544,3.439,50.07,11.36
