Rate,AR_nRMSE,AR_Gap,Proposed_nRMSE,Proposed_Gap
0.0,36.1127,36.3667,116.4544,1.8917
0.1,36.1127,34.5558,116.4544,2.1296
0.2,36.1127,32.5754,116.4544,2.3899
0.3,36.1127,30.4043,116.4544,2.6815
0.4,36.1127,28.0255,116.4544,3.0253
0.5,36.1127,25.4142,116.4544,3.439
0.6,36.1127,22.5303,116.4544,3.9299
0.7,36.1127,19.3226,116.4544,4.5053
0.8,36.1127,15.7646,120.5133,6.143
0.9,36.1127,11.8151,116.8255,6.7849
1.0,36.1127,7.7699,69.0787,7.8478
