model,penalty_rate,nrmse,gap
AR,0.0,45.861971843095816,-4.809150730386093
AR,0.1,45.861971843095816,-3.5035732519288083
AR,0.2,45.861971843095816,-2.1979957734716464
AR,0.3,45.861971843095816,-0.8924182950144437
AR,0.4,45.861971843095816,0.41315918344271796
AR,0.5,45.861971843095816,1.7187366618999207
AR,0.6,45.861971843095816,3.0243141403571645
AR,0.7,45.861971843095816,4.329891618814265
AR,0.8,45.861971843095816,5.635469097271509
AR,0.9,45.861971843095816,6.9410465757286905
AR,1.0,45.861971843095816,8.246624054185924
Proposed,0.0,103.24685931254488,-56.531037643256006
Proposed,0.1,84.55026324153974,-36.137559961322204
Proposed,0.2,66.95124531587335,-20.714986415220867
Proposed,0.3,64.222295394535,-15.451976915309206
Proposed,0.4,51.45462365663347,-8.40334209871607
Proposed,0.5,46.82492621655919,-3.806246640721088
Proposed,0.6,45.46200669535646,-0.7821629933441785
Proposed,0.7,44.26327338126731,2.3888666269055503
Proposed,0.8,43.980633078747225,4.963238492694245
Proposed,0.9,44.879580645824106,7.433404383446514
Proposed,1.0,48.1452783944248,8.60743411328605
