Rate,Code_nRMSE,Code_Gap
0.0,168.08,-92.90
0.1,154.18,-74.12
0.2,139.69,-52.00
0.3,135.09,-39.76
0.4,132.96,-31.31
0.5,130.58,-22.36
0.6,104.40,-9.50
0.7,101.34,-3.66
0.8,100.03,1.65
0.9,105.71,6.13
1.0,58.34,9.61
1.1,61.70,10.82
1.2,62.62,11.61
1.3,65.78,12.34
1.4,69.08,12.76
1.5,68.66,13.16
