Label,nRMSE,Gap
1/20,42.18,46.39
1/10,41.87,46.35
1/5,41.38,46.26
1/2,56.47,39.79
1/1,41.13,43.56
2/1,247.06,4.05
5/1,247.06,4.05
10/1,247.06,4.05
20/1,247.06,4.05
1/0,247.06,4.05
