rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,36.24,29.91,24.25,33.58
0.3,1,10,35.94,30.18,24.37,33.38
0.3,1,5,36.41,30.15,24.72,33.0
0.3,1,1,82.94,17.15,41.96,25.46
0.3,1,0,116.45,3.24,116.45,3.24
0.4,1,20,36.34,27.45,24.25,30.73
0.4,1,10,35.74,27.79,24.36,30.55
0.4,1,5,36.41,27.6,24.55,30.39
0.4,1,1,82.71,16.41,34.11,25.97
0.4,1,0,116.45,3.87,116.45,3.87
0.5,1,20,36.35,24.75,24.22,27.6
0.5,1,10,36.12,24.88,24.31,27.45
0.5,1,5,36.19,24.97,24.52,27.31
0.5,1,1,70.79,17.54,34.61,23.56
0.5,1,0,116.45,4.62,116.45,4.62
0.6,1,20,36.4,21.84,24.21,24.18
0.6,1,10,36.13,21.97,24.28,24.07
0.6,1,5,35.92,22.08,24.4,24.01
0.6,1,1,63.83,16.89,27.71,22.4
0.6,1,0,116.45,5.59,116.45,5.59
0.7,1,20,36.35,18.76,24.2,20.45
0.7,1,10,36.16,18.8,24.25,20.43
0.7,1,5,36.58,18.62,24.35,20.33
0.7,1,1,67.38,15.34,26.24,19.53
0.7,1,0,121.09,7.92,116.45,6.8
0.8,1,20,36.12,15.45,24.19,16.38
0.8,1,10,36.77,15.23,24.21,16.37
0.8,1,5,36.62,15.26,24.27,16.32
0.8,1,1,67.79,13.46,25.06,16.05
0.8,1,0,117.43,10.0,116.45,8.33
0.9,1,20,36.1,11.89,24.19,12.07
0.9,1,10,36.67,11.78,24.19,12.07
0.9,1,5,35.69,11.77,24.19,12.06
0.9,1,1,56.85,11.31,24.2,12.03
0.9,1,0,114.79,11.93,103.56,10.52
1.0,1,20,36.08,8.96,24.12,8.24
1.0,1,10,35.44,8.8,24.11,8.24
1.0,1,5,35.21,8.65,24.08,8.23
1.0,1,1,36.78,8.61,23.83,8.2
1.0,1,0,70.03,9.27,25.01,8.55
1.2,1,20,35.45,12.21,24.08,10.14
1.2,1,10,35.61,12.09,24.04,10.11
1.2,1,5,35.46,11.96,23.97,10.07
1.2,1,1,37.68,12.25,23.22,9.72
1.2,1,0,65.96,11.84,40.97,9.72
1.5,1,20,35.61,17.2,24.03,12.92
1.5,1,10,35.88,16.86,23.91,12.74
1.5,1,5,36.1,16.58,23.7,12.52
1.5,1,1,36.6,16.01,23.03,11.57
1.5,1,0,71.63,10.99,59.4,10.39
