Rate,MLR_base_nRMSE,MLR_base_Gap,MLR_prop_nRMSE,MLR_prop_Gap
0.0,24.43,13.88,26.4,13.7
0.1,24.43,11.49,23.99,11.67
0.2,24.43,10.22,23.32,10.34
0.3,24.43,9.93,23.02,9.86
0.4,24.43,10.49,23.02,10.08
0.5,24.43,11.34,23.42,10.47
0.6,24.43,12.24,24.12,10.79
0.7,24.43,13.13,25.92,10.92
0.8,24.43,14.03,26.97,11.18
0.9,24.43,14.92,28.41,11.32
1.0,24.43,15.82,30.45,11.61
