Label,nRMSE,Gap
1/20,48.55,44.88
1/10,48.36,44.85
1/5,47.87,44.82
1/2,52.12,44.39
1/1,121.06,34.23
2/1,239.09,10.72
5/1,246.76,5.0
10/1,246.8,4.97
20/1,246.8,4.99
1/0,246.8,4.99
