Rate,base_nRMSE,base_Gap,prop_nRMSE,prop_Gap
0.0,24.43,41.03,47.79,27.55
0.1,24.43,36.78,37.7,28.98
0.2,24.43,31.73,39.81,24.57
0.3,24.43,25.7,29.08,23.03
0.4,24.43,18.52,26.1,17.65
0.5,24.43,10.91,24.25,10.94
0.6,24.43,9.09,23.62,9.12
0.7,24.43,10.7,23.18,10.3
0.8,24.43,12.4,23.02,11.49
0.9,24.43,14.11,23.35,12.21
1.0,24.43,15.82,24.04,12.8
1.1,24.43,17.52,25.91,12.94
1.2,24.43,19.23,27.0,13.39
1.3,24.43,20.94,28.12,13.77
1.4,24.43,22.65,30.14,14.2
1.5,24.43,24.35,31.16,14.69
