model,penalty_rate,nRMSE_overall,nRMSE_per_day_avg,optimality_gap
MLR(sw-3vars),0.0,45.066295399520286,62.088156212136205,8.088582923145562
MLR(sw-3vars),0.1,45.066295399520286,62.088156212136205,9.475831801953012
MLR(sw-3vars),0.2,45.066295399520286,62.088156212136205,10.863080680760444
MLR(sw-3vars),0.3,45.066295399520286,62.088156212136205,12.250329559567914
MLR(sw-3vars),0.4,45.066295399520286,62.088156212136205,13.637578438375366
MLR(sw-3vars),0.5,45.066295399520286,62.088156212136205,15.024827317182815
MLR(sw-3vars),0.6,45.066295399520286,62.088156212136205,16.412076195990267
MLR(sw-3vars),0.7,45.066295399520286,62.088156212136205,17.799325074797707
MLR(sw-3vars),0.8,45.066295399520286,62.088156212136205,19.186573953605162
MLR(sw-3vars),0.9,45.066295399520286,62.088156212136205,20.57382283241261
MLR(sw-3vars),1.0,45.066295399520286,62.088156212136205,21.96107171122006
