Rate,base_nRMSE,base_Gap,prop_nRMSE,prop_Gap
0.0,36.11,36.37,78.46,20.56
0.1,36.11,32.69,79.63,17.4
0.2,36.11,28.33,81.39,17.04
0.3,36.11,23.14,75.77,15.86
0.4,36.11,17.01,67.3,13.85
0.5,36.11,10.73,37.98,10.46
0.6,36.11,10.47,37.39,10.31
0.7,36.11,13.64,37.72,12.7
0.8,36.11,16.91,37.33,15.61
0.9,36.11,20.19,36.09,16.31
1.0,36.11,23.46,38.96,17.97
1.1,36.11,26.73,40.21,20.32
1.2,36.11,30.0,41.05,20.93
1.3,36.11,33.28,42.78,23.25
1.4,36.11,36.55,41.95,21.74
1.5,36.11,39.82,43.7,18.31
