Rate,base_nRMSE,base_Gap,prop_nRMSE,prop_Gap
0.0,24.43,-1.25,49.94,-28.21
0.1,24.43,-0.36,49.71,-21.49
0.2,24.43,0.54,37.69,-11.6
0.3,24.43,1.43,42.95,-11.88
0.4,24.43,2.33,40.18,-7.66
0.5,24.43,3.22,32.35,-2.34
0.6,24.43,4.12,29.17,0.79
0.7,24.43,5.01,27.25,3.17
0.8,24.43,5.91,25.99,5.05
0.9,24.43,6.8,24.93,6.55
1.0,24.43,7.69,24.21,7.71
1.1,24.43,8.59,23.86,8.62
1.2,24.43,9.48,27.52,10.2
1.3,24.43,10.38,23.28,10.09
1.4,24.43,11.27,23.18,10.7
1.5,24.43,12.17,23.08,11.26
