Label,W1,W2,nRMSE,Gap,Paper_nRMSE,Paper_Gap,Delta_nRMSE,Delta_Gap
MLR,,,24.4301589036163,11.343375073772863,21.76,12.59,2.670158903616297,-1.2466249262271365
1/20,1,20,24.07,11.49,21.92,11.91,2.15,-0.42
1/10,1,10,24.02,11.43,21.82,11.68,2.2,-0.25
1/5,1,5,23.86,11.27,21.72,11.35,2.14,-0.08
1/2,1,2,23.37,11.05,21.66,10.65,1.71,0.4
1/1,1,1,23.04,10.77,21.72,10.28,1.32,0.49
2/1,2,1,23.49,10.44,21.95,9.95,1.54,0.49
5/1,5,1,29.77,10.16,22.4,9.65,7.37,0.51
10/1,10,1,35.19,10.04,23.1,9.45,12.09,0.59
20/1,20,1,40.41,9.99,24.2,9.3,16.21,0.69
1/0,1,0,52.89,10.18,25.5,9.28,27.39,0.9
