Label,nRMSE,Gap
AR/MLR,24.43,11.34
1/20,24.02,11.44
1/10,23.83,11.27
1/5,23.55,11.11
1/2,23.04,10.78
1/1,23.42,10.47
2/1,26.59,10.29
5/1,32.46,10.11
10/1,36.13,10.06
20/1,38.58,10.08
1/0,41.21,10.1
