Label,nRMSE,Gap
AR/MLR,39.73,14.09
1/20,43.03,14.78
1/10,44.1,14.53
1/5,46.35,14.03
1/2,52.4,13.39
1/1,61.64,12.83
2/1,79.06,12.44
5/1,108.92,12.98
10/1,133.55,13.68
20/1,136.52,13.85
1/0,136.57,13.85
