Label,nRMSE,Gap
AR/MLR,24.43,11.34
1/20,24.07,11.49
1/10,24.02,11.44
1/5,23.86,11.28
1/2,23.37,11.05
1/1,23.04,10.78
2/1,23.49,10.44
5/1,29.77,10.16
10/1,35.19,10.04
20/1,40.41,10.0
1/0,52.89,10.18
