Rate,AR_base_nRMSE,AR_base_Gap,AR_prop_nRMSE,AR_prop_Gap
0.0,36.11,13.47,46.6,13.53
0.1,36.11,11.84,40.4,11.67
0.2,36.11,11.37,43.26,10.94
0.3,36.11,11.9,44.19,11.29
0.4,36.11,13.27,44.31,12.23
0.5,36.11,14.94,43.18,13.28
0.6,36.11,16.64,43.03,11.99
0.7,36.11,18.35,45.34,12.2
0.8,36.11,20.05,47.82,11.61
0.9,36.11,21.76,48.57,11.95
1.0,36.11,23.46,52.6,12.25
