Label,nRMSE,Gap
1/20,43.0,14.78
1/10,43.8,14.55
1/5,45.73,14.07
1/2,48.94,13.75
1/1,56.71,12.99
2/1,72.11,12.36
5/1,102.95,12.79
10/1,132.94,13.66
20/1,135.92,13.81
1/0,136.57,13.85
