Rate,base_nRMSE,base_Gap,prop_nRMSE,prop_Gap
0.0,48.84,60.4,168.08,27.01
0.1,48.84,58.09,149.09,31.17
0.2,48.84,55.43,139.82,34.07
0.3,48.84,52.37,135.64,34.34
0.4,48.84,48.89,129.92,34.52
0.5,48.84,44.85,121.06,34.23
0.6,48.84,40.19,110.64,34.09
0.7,48.84,34.65,92.7,32.14
0.8,48.84,27.99,82.99,27.42
0.9,48.84,19.98,61.73,20.17
1.0,48.84,11.5,64.66,11.6
1.1,48.84,13.12,67.82,12.73
1.2,48.84,14.73,69.8,13.2
1.3,48.84,16.35,73.66,13.38
1.4,48.84,17.96,74.65,13.81
1.5,48.84,19.58,78.22,13.8
