Rate,nRMSE,Gap
0.0,116.45,1.89
0.1,116.45,2.55
0.2,116.45,3.4
0.3,116.45,4.59
0.4,116.45,6.43
0.5,33.99,10.52
0.6,24.48,9.25
0.7,34.24,9.82
0.8,40.94,10.18
0.9,49.2,10.38
1.0,54.04,10.53
