Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
AR/MLR,36.11,13.47,34.76,15.04
1/20,36.24,13.42,34.89,13.91
1/10,36.65,13.24,35.14,13.42
1/5,35.64,13.3,36.28,12.71
1/2,35.88,13.31,41.09,11.88
1/1,57.92,13.62,44.95,11.44
2/1,85.01,13.84,46.11,11.38
5/1,81.59,14.38,48.27,11.38
10/1,87.11,14.57,49.21,11.36
20/1,95.69,14.55,49.61,11.36
1/0,99.28,14.67,50.07,11.36
