Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
MLR,24.4302,27.7352,21.76,12.59
1/20,24.2163,27.5978,21.92,11.91
1/10,24.3102,27.4527,21.84,11.68
1/5,24.5226,27.3051,21.75,11.15
1/1,34.611,23.5599,22.01,10.28
1/0,116.4544,4.619,37.67,9.28
