Rate,AR_base_nRMSE,AR_base_Gap,AR_prop_nRMSE,AR_prop_Gap
0.0,48.84,24.26,60.8,24.61
0.1,48.84,19.02,65.92,19.32
0.2,48.84,15.74,67.75,15.45
0.3,48.84,14.73,67.92,13.97
0.4,48.84,15.3,72.4,12.94
0.5,48.84,16.48,72.51,12.85
0.6,48.84,17.76,72.4,13.24
0.7,48.84,19.13,75.37,13.77
0.8,48.84,20.51,77.1,13.81
0.9,48.84,21.89,76.78,14.15
1.0,48.84,23.26,79.54,14.21
1.1,48.84,24.64,80.77,14.7
1.2,48.84,26.02,83.33,14.55
1.3,48.84,27.4,85.04,14.38
1.4,48.84,28.78,86.62,14.6
1.5,48.84,30.15,86.54,14.96
