model,train_days,test_days,nRMSE_overall_pct,optimality_gap_pct_penalty_50
AR_corrected,90,30,64.54354200839673,19.79996347674435
MLR_pooled_ssrd_tsr_hour,90,30,67.74984619789076,32.912424457454584
