Rate,base_nRMSE,base_Gap,prop_nRMSE,prop_Gap
0.0,39.73,63.09,247.06,0.61
0.1,39.73,60.67,247.06,0.85
0.2,39.73,57.9,247.06,1.21
0.3,39.73,54.69,247.06,1.75
0.4,39.73,51.03,247.06,2.69
0.5,39.73,46.77,247.06,4.05
0.6,39.73,41.84,247.06,6.08
0.7,39.73,35.96,247.06,8.86
0.8,39.73,28.87,247.06,12.66
0.9,39.73,20.3,247.06,18.01
1.0,39.73,11.12,247.06,26.6
1.1,39.73,11.99,247.06,45.52
1.2,39.73,12.86,247.06,64.45
1.3,39.73,13.72,247.06,83.37
1.4,39.73,14.59,247.06,102.3
1.5,39.73,15.46,247.06,121.23
