Label,nRMSE,Gap
1/20,36.09,10.7
1/10,36.03,10.69
1/5,36.23,10.62
1/2,35.75,10.6
1/1,37.98,10.46
2/1,79.62,10.88
5/1,83.65,11.03
10/1,90.96,11.44
20/1,94.87,11.55
1/0,100.29,11.04
