Label,nRMSE,Gap
1/20,48.61,16.34
1/10,49.4,16.23
1/5,55.8,15.02
1/2,63.42,15.02
1/1,67.28,13.47
2/1,81.08,12.78
5/1,96.14,12.91
10/1,107.42,12.87
20/1,110.99,12.83
1/0,116.42,13.29
