Rate,MLR_base_nRMSE,MLR_base_Gap,MLR_prop_nRMSE,MLR_prop_Gap
0.0,39.73,25.05,46.18,25.22
0.1,39.73,19.27,49.0,19.45
0.2,39.73,15.36,52.75,15.37
0.3,39.73,13.68,56.04,13.32
0.4,39.73,13.57,58.62,12.8
0.5,39.73,14.09,61.64,12.83
0.6,39.73,14.69,63.82,12.94
0.7,39.73,15.39,67.58,12.84
0.8,39.73,16.1,69.61,12.89
0.9,39.73,16.81,71.87,13.05
1.0,39.73,17.51,73.83,13.09
1.1,39.73,18.22,75.21,13.16
1.2,39.73,18.93,77.81,13.08
1.3,39.73,19.64,78.61,13.19
1.4,39.73,20.35,79.23,13.22
1.5,39.73,21.06,80.51,13.26
