lam,a_n,a_g,d_an,d_ag,d_atr,d_acv,d_amr,m_n,m_g,d_mn,d_mg,d_mtr,d_mcv
0.0,36.31960281162301,14.546600026506875,0.0,0.0,0.0,0.0,0.0,23.876903588128616,11.300930029367835,0.0,0.0,0.0,0.0
0.05,36.32778962088937,14.528415997680847,0.008186809266362616,-0.018184028826027543,-0.12499279193140415,-0.23015137946895783,-0.6883489986754073,23.772711058569428,11.258007951424778,-0.10419252955918878,-0.042922077943057246,-0.3797610103498968,-0.4804308722245176
0.1,36.15222949716998,14.454868557066257,-0.16737331445303028,-0.09173146944061727,-0.6305408214583557,-0.3095280733936465,0.06623170372191534,23.691479047136703,11.215716928120147,-0.18542454099191374,-0.08521310124768888,-0.7539386482595722,-0.9049176308012079
0.15,36.62763704035535,14.411302186043926,0.3080342287323461,-0.13529784046294857,-0.9300059400257055,-1.279284543137999,-11.273301485221202,23.594468790073254,11.1790944382058,-0.28243479805536253,-0.12183559116203568,-1.0779628902791993,-1.3776514294635587
0.2,36.54107803109637,14.409219738409831,0.22147521947336202,-0.1373802880970434,-0.9443202015314067,-1.1927342451498903,-11.273301485221202,23.52852111396828,11.135011412116851,-0.34838247416033497,-0.1659186172509841,-1.4679956037241355,-1.7873499929511274
0.3,36.87416844067304,14.53900008569161,0.5545656290500318,-0.007599940815264716,-0.0522402285049312,-0.649304904070923,-11.51775754407325,23.28587797474983,11.067025263604307,-0.5910256133787861,-0.23390476576352803,-2.0695156066292055,-3.1262773211817625
0.4,38.41306378162151,13.977340122593672,2.093460969998503,-0.5692599039132027,-3.9129604008939936,-7.468965761142892,-27.932954297739325,23.14875321070263,11.012269402989874,-0.7281503774259868,-0.2886606263779612,-2.553978194324485,-4.154246246580165
0.5,38.87692250328807,13.450553463464802,2.5573196916650645,-1.0960465630420728,-7.5339695791640215,-9.626783138019498,-29.112596525266657,23.030071407270512,10.956656399800925,-0.8468321808581045,-0.34427362956691,-3.0460245092220193,-5.589066215753427
0.75,42.90974309655194,13.272333603060508,6.590140284928935,-1.2742664234463668,-8.759011518040865,-12.567959791712065,-22.928344545687374,23.04626010948868,10.932389441296847,-0.830643478639935,-0.36854058807098866,-3.2607309055869584,-7.978603005533698
1.0,43.92154126908784,12.037014861498157,7.601938457464833,-2.5095851650087173,-17.25030571422055,-20.093533005379616,-26.393301200409976,23.734274894864956,10.892849564660823,-0.14262869326366,-0.4080804647070124,-3.6105672653342054,-12.32463076645323
1.5,47.28015591870952,12.011514918499204,10.960553107086511,-2.535085108007671,-17.425586401467417,-24.781906358216716,-32.420701567479945,25.68832938302824,10.792804013283197,1.8114257948996233,-0.5081260160846384,-4.4957387549965295,-18.00706124587825
