Label,nRMSE,Gap
1/20,36.35,24.75
1/10,36.12,24.88
1/5,36.19,24.97
1/2,37.3,24.59
1/1,70.79,17.54
2/1,112.58,8.4
5/1,116.45,4.62
10/1,116.45,4.62
20/1,116.45,4.62
1/0,116.45,4.62
