Label,nRMSE_lam0,Gap_lam0,nRMSE_lam0.2,Gap_lam0.2
AR/MLR,24.43,11.3,24.43,11.14
1/20,23.88,11.3,23.53,11.14
1/10,23.63,11.16,23.02,10.91
1/5,23.2,10.89,23.9,10.67
1/2,23.21,10.52,31.97,10.27
1/1,26.31,10.15,44.01,10.15
2/1,32.34,10.1,55.6,10.3
5/1,39.05,10.0,63.48,10.47
10/1,46.04,10.1,65.56,10.55
20/1,49.18,10.13,67.6,10.6
1/0,52.89,10.18,68.74,10.61
