Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
AR,36.11,11.93,34.76,15.04
1/20,36.1,11.89,34.89,13.91
1/10,36.67,11.78,35.14,13.42
1/5,35.69,11.77,36.28,12.71
1/2,35.69,11.67,41.09,11.88
1/1,56.85,11.31,44.95,11.44
2/1,74.25,11.12,46.11,11.38
5/1,90.06,10.74,48.27,11.38
10/1,95.37,10.96,49.21,11.36
20/1,107.72,10.72,49.61,11.36
1/0,114.79,11.93,50.07,11.36
