Label,nRMSE,Gap
1/20,24.19,10.97
1/10,24.19,10.97
1/5,24.19,10.96
1/2,24.2,10.95
1/1,24.25,10.94
2/1,24.51,10.9
5/1,26.25,10.8
10/1,48.37,10.04
20/1,59.55,13.57
1/0,102.48,15.27
