Label,nRMSE,Gap
1/20,24.25,3.02
1/10,24.36,2.79
1/5,24.54,2.6
1/2,25.92,1.2
1/1,32.35,-2.34
2/1,116.45,-30.43
5/1,116.45,-30.43
10/1,116.45,-30.43
20/1,116.45,-30.43
1/0,116.45,-30.43
