Rate,base_nRMSE,base_Gap,prop_nRMSE,prop_Gap
0.0,24.43,41.03,47.79,27.55
0.1,24.43,38.84,51.91,23.1
0.2,24.43,36.43,44.38,26.29
0.3,24.43,33.79,41.96,25.46
0.4,24.43,30.9,34.11,25.97
0.5,24.43,27.74,34.61,23.56
0.6,24.43,24.29,27.71,22.4
0.7,24.43,20.52,26.24,19.53
0.8,24.43,16.42,25.06,16.05
0.9,24.43,12.08,24.2,12.03
1.0,24.43,8.23,23.83,8.2
1.1,24.43,9.18,23.42,9.01
1.2,24.43,10.12,23.22,9.72
1.3,24.43,11.07,23.04,10.37
1.4,24.43,12.02,23.0,11.05
1.5,24.43,12.97,23.03,11.57
