Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
AR/MLR,24.43,13.88,21.76,12.59
1/20,24.19,13.97,21.92,11.91
1/10,24.19,13.96,21.84,11.68
1/5,24.19,13.96,21.75,11.15
1/2,24.23,13.93,21.66,10.65
1/1,24.3,13.91,22.01,10.28
2/1,24.92,13.8,23.32,9.91
5/1,27.96,13.59,27.75,9.51
10/1,45.27,13.01,30.62,9.32
20/1,52.47,12.65,35.76,9.27
1/0,116.45,12.66,37.67,9.28
