Label,nRMSE,Gap
1/20,24.22,27.6
1/10,24.31,27.45
1/5,24.52,27.31
1/2,25.64,26.49
1/1,34.61,23.56
2/1,65.43,14.5
5/1,116.45,4.62
10/1,116.45,4.62
20/1,116.45,4.62
1/0,116.45,4.62
