Label,nRMSE,Gap
1/20,29.03,24.92
1/10,50.27,18.82
1/5,116.45,4.62
1/2,116.45,4.62
1/1,116.45,4.62
2/1,116.45,4.62
5/1,116.45,4.62
10/1,116.45,4.62
20/1,116.45,4.62
1/0,116.45,4.62
