Label,nRMSE,Gap
AR/MLR,36.11,14.94
1/20,35.01,14.06
1/10,36.75,14.7
1/5,37.47,14.45
1/2,42.03,13.75
1/1,43.18,13.28
2/1,49.52,10.65
5/1,64.63,11.23
10/1,66.79,11.14
20/1,66.35,11.17
1/0,65.68,10.96
