Label,nRMSE,Gap
1/20,36.29,-1.09
1/10,35.76,-0.65
1/5,36.23,-0.81
1/2,37.08,-1.26
1/1,68.04,-10.28
2/1,116.61,-29.0
5/1,116.45,-30.43
10/1,116.45,-30.43
20/1,116.45,-30.43
1/0,116.45,-30.43
