Label,nRMSE,Gap
AR/MLR,24.43,11.34
1/20,23.88,11.3
1/10,23.63,11.16
1/5,23.2,10.89
1/2,23.21,10.52
1/1,26.31,10.15
2/1,32.34,10.1
5/1,39.05,10.0
10/1,46.04,10.1
20/1,49.18,10.13
1/0,52.89,10.18
