model,penalty_rate,nRMSE_overall,nRMSE_per_day_avg,optimality_gap
MLR(12vars),0.0,50.49309069244052,68.93520248490603,7.092325414953929
MLR(12vars),0.1,50.49309069244052,68.93520248490603,8.884865850694897
MLR(12vars),0.2,50.49309069244052,68.93520248490603,10.677406286435827
MLR(12vars),0.3,50.49309069244052,68.93520248490603,12.469946722176758
MLR(12vars),0.4,50.49309069244052,68.93520248490603,14.262487157917707
MLR(12vars),0.5,50.49309069244052,68.93520248490603,16.055027593658647
MLR(12vars),0.6,50.49309069244052,68.93520248490603,17.847568029399607
MLR(12vars),0.7,50.49309069244052,68.93520248490603,19.64010846514054
MLR(12vars),0.8,50.49309069244052,68.93520248490603,21.43264890088149
MLR(12vars),0.9,50.49309069244052,68.93520248490603,23.225189336622435
MLR(12vars),1.0,50.49309069244052,68.93520248490603,25.017729772363378
