c,AR_Gap,Proposed_nRMSE,Proposed_Gap
1.0,13.47,57.92,13.62
1.1,12.33,37.11,11.9
1.2,12.1,37.35,11.75
1.3,12.54,37.68,12.06
1.4,13.37,37.95,12.39
1.5,14.5,38.04,13.32
1.6,15.93,37.49,14.29
1.8,18.99,39.05,16.59
2.0,22.11,39.56,18.1
2.5,29.96,41.41,22.47
3.0,37.8,42.42,18.53
