Label,nRMSE,Gap,Paper_nRMSE,Paper_Gap
MLR,24.4302,10.1242,21.76,12.59
1/20,24.0817,10.1397,21.92,11.91
1/10,24.036,10.1072,21.84,11.68
1/5,23.9704,10.071,21.75,11.15
1/2,23.5967,9.8905,21.66,10.65
1/1,23.221,9.723,22.01,10.28
2/1,22.9873,9.6351,23.32,9.91
5/1,24.731,9.6117,27.75,9.51
10/1,29.2206,9.5328,30.62,9.32
20/1,33.905,9.607,35.76,9.27
1/0,40.9675,9.715,37.67,9.28
